,Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Time,Month Or Hours
499,"Sales ""Facility Management""",NEW JERSEY Developments,"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail· business· Management· sales skills· Sales Target· Communication· Communication skills· Business Administration,2,days
500,Customer Experience Manager,Compu master,"Maadi, Cairo, Egypt",2 days ago,Full,Manager · 5 - 10 Yrs of Exp · Customer Service/Support · Operations/Management· Business Planning· Commerce· Customer Care· Customer Service· Customer Support· ERP· Leadership· Management,2,days
501,Medical Sales Representative,Yuwell Medical,"Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail· Customer Service· Medical· Medical Sales· Representative· Medical Equipment· Retail· Sales· Sales Target,2,days
502,Internal Auditor,Jazeera Paints,"10th of Ramadan City, Cairo, Egypt",2 days ago,Full,Experienced · 7 - 10 Yrs of Exp · Accounting/Finance· Procedures· Accounting· Auditing· Financial Analysis· Microsoft Office· Analytical· Analysis· Auditing Standards· MS Office,2,days
503,Property Consultant,Global Building,"Cairo, Egypt",2 days ago,Full,Entry Level · 0 - 2 Yrs of Exp · Sales/Retail· Sales· Property Consultant· Communication Skills· Sales Skills· Advertising· Participation· Presentation Skills· Real Estate· Property Sales,2,days
504,Planning Manager,Tie House,"15th May City, Cairo, Egypt",2 days ago,Full,Manager · 7+ Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Analyst/Research· Business Planning· Planning· Business Development· Fashion· Management· Project Management,2,days
505,SAP Technical Lead,Collars HR,"New Cairo, Cairo, Egypt",2 days ago,Full,Manager · 7 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology· Computer Science· Engineering· Information Technology (IT)· Software Development,2,days
506,Senior Database Administrator,Expleo,"Maadi, Cairo, Egypt",2 days ago,Full,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Database Administrator· SQL· SQL Server· Database· Computer Science· English· Information Technology (IT),2,days
507,Node JS Developer,Aseel,"Cairo, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development· Node.js· React.js· PostgreSQL· Docker,2,days
508,Fleet Maintenance,Confidential,"Alexandria, Egypt",2 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Fleet· Fleet Maintenance· Maintenance· Mechanical· Engineering· Mechanical Engineering· Management,2,days
509,HSE Manager,Confidential,"Beheira, Egypt",2 days ago,Full,"Manager · 10 - 15 Yrs of Exp · R&D/Science · Operations/Management · Quality· Chemistry· Health· HSE· Safety· Safety Management· Environment· Health, Safety and Environment",2,days
510,School Discipline Coordinator,Marvel International School,"Sheikh Zayed, Giza, Egypt",2 days ago,Full,Experienced · 3+ Yrs of Exp · Education/Teaching· Communication· Education· Teaching,2,days
511,Senior Mechanical Engineer,Confidential,"Alexandria, Egypt",2 days ago,Full,Experienced · 5 - 10 Yrs of Exp · males_only · Engineering - Mechanical/Electrical· Mechanical Engineering· Auto CAD· Solid Work· Engineering· AutoCAD· Revit· Auto-cad,2,days
512,Technical Office Engineer (Electrical),Confidential,"10th of Ramadan City, Sharqia, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical· ERP· AutoCAD· DIALux· Lighting· Electrical Engineering· Electrical· Engineering· English· Technical Office,2,days
513,Marketing Category Lead,Confidential,"Sheikh Zayed, Giza, Egypt",2 days ago,Full,Manager · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Marketing· Category Management· FMCG· Lead Generation· marketing analysis· English· Analysis,2,days
514,Ruby ON Rails Developer,International Advanced,"Nasr City, Cairo, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Ruby on Rails· Information Technology (IT)· Ruby· Software Development· Rails· Python,2,days
515,Senior Project Manager,Finstek,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 5+ Yrs of Exp · IT/Software Development · Project/Program Management· English· Agile· Planning· Project Management· Computer Science· Project· Management· Communication,2,days
516,Marketing Manager,Confidential,"Cairo, Egypt",2 days ago,Full,Manager · 10+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising· Marketing· Chemical Sales· Paints· Sales· E-Marketing· Digital Marketing· Marketing Management,2,days
517,Sales Advisor - Real Estate,Findwell Real Estate Consultancy,"New Cairo, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Sales/Retail· sales skills· Communication· Negotiation· Sales· Sales Target· Communication skills· Customer Service· English,2,days
518,Sales Manager - Freelance,Lansheng Paper Company,"Cairo, Egypt",2 days ago,Freelance,Manager · 7+ Yrs of Exp · Operations/Management · Sales/Retail· business· Business acumen· Sales· sales skills· Sales Target· import· export,2,days
519,Creative Copywriter,Nahdet Misr Publishing Group,"Giza, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising· Content Writing· Content· Marketing· media· Writing,2,days
520,International Business Development Executive,Alwadi Holding,"Mohandessin, Giza, Egypt",2 days ago,Full,Experienced · 3+ Yrs of Exp · Business Development · Sales/Retail· Business Development· Sales· Financial Analysis· Financial Management· Sales Target· Sales Skills· Communication· MS Office,2,days
521,Head OF Operations,SUN SERVICEFM,"Cairo, Egypt",2 days ago,Full,Manager · 5 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Engineering - Mechanical/Electrical· Facility Management· Facilities operations· Facilities Engineering· MEP Engineering· Project Management· Operations· Management,2,days
522,MEP Technical Office Engineer (Fresh),ASA for ElectroMechanical works,"San Stefano, Alexandria, Egypt",2 days ago,Full,Entry Level · 0 - 1 Yrs of Exp · Engineering - Mechanical/Electrical· Engineering· Technical Office· AutoCAD· Microsoft Office· HVAC· Fire Fighting· Plumbing· Mechanical Engineering· Mechanical Power,2,days
523,Food Quality & Safety Assurance Officer,Wadi Degla Group,"New Assuit, Assiut, Egypt",2 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · R&D/Science · Hospitality/Hotels/Food Services · Quality· Food quality· Safety· Food Safety Management System· Quality Assurance· ISO 22000· ISO· HACCP,2,days
524,Sales Engineer - Electrical,Confidential,"New Cairo, Cairo, Egypt",2 days ago,Full,Entry Level · 0 - 1 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical· Engineering· Sales· Sales Engineering· Electrical Engineering· Electrical· sales skills· Sales Target,2,days
525,Junior Payroll Administrator,MENASSAT,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · Administration · Human Resources· Accounting· Labor Law· English· Administration· Payroll· Human Resources (HR)· Microsoft Office,2,days
526,Accountant,Target Recruitment & HR Solutions,"Alexandria, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance· Accounting· accountant· excel· English· general accountant· MS· MS Excel,2,days
527,Secretary / Receptionist,Arabian Advanced Systems,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · Administration· English· Secretary· Office management· Microsoft Office· Administration· Accounting,2,days
528,Financial Analyst,Namaa For Development and Real state,"Nasr City, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research· Accounting· Finance· Financial Analysis· IAS· Investment· Forecasting· Commerce· Microsoft Office,2,days
529,English Assistant Teacher - Foreigner (October - Maadi - Mohandsein),The Baby Academy,"Maadi, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Education/Teaching· Education· Teaching· Co-Teacher· Assistant Teacher,2,days
530,IT Recruiter,Finstek,"Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 5 Yrs of Exp · Human Resources · IT/Software Development· Recruiting· Recruitment· IT Recruitment· Human Resources (HR)· Information Technology (IT)· Microsoft Office· Sales· Marketing,2,days
531,On-Ground Team Leader (Assiut),Tagaddod,"Assuit, Assiut, Egypt",2 days ago,Full,Manager · 1+ Yrs of Exp · Logistics/Supply Chain · Operations/Management· Logistics· Operations Management· Inventory Management· Supply Chain,2,days
532,Grant Project Coordinator,Mozare3,"Sheikh Zayed, Giza, Egypt",2 days ago,Full,Experienced · 2 - 3 Yrs of Exp · Administration · Project/Program Management· Project Management· Project Coordination· Travel· Administration· English· Microsoft Office,2,days
533,Computer Teacher,Bloom Language School,"Haram, Giza, Egypt",2 days ago,Full,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching· Education· Computer Skills· Teaching· Communication skills· English,2,days
534,Supply Chain Assistant,Beauty Star,"Agouza, Giza, Egypt",2 days ago,Full,Experienced · 3 - 8 Yrs of Exp · Logistics/Supply Chain · Fashion · Purchasing/Procurement· Analysis· Analytical Thinking· Management· Logistics· Purchasing· Supply Chain· Communication,2,days
535,senior property consultant,Realogy,"Cairo, Egypt",2 days ago,Full,Experienced · 1 - 5 Yrs of Exp · Sales/Retail· Property consultant· Real Estate· Sales· Senior Property consultant,2,days
536,Head of Human Resources & Administrative Affairs,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Administration · Human Resources· Administration· Human Resources (HR),2,days
537,Front End Developer,Charisma Design,"Nasr City, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Software Engineering· Software Development· Web Development· Front End· UI· HTML· CSS,2,days
538,Head Of Financial Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Accounting/Finance· Finance· Financial Analysis· Financial Management,2,days
539,Travel Consultant (Saudi Market),Bevatel,"Dokki, Giza, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Customer Service/Support · Sales/Retail · Tourism/Travel· Tourism· Travel· Sales· Saudi Market· Communication· Customer Support· English,2,days
540,Senior Back End Developer,Charisma Design,"Cairo, Egypt",2 days ago,Full,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· PostgreSQL· PHP· VueJS· Laravel· Node.js· Laravel Framework· Python· Git,2,days
541,Head Of Supply Chains Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Manager · 10 - 15 Yrs of Exp · Logistics/Supply Chain · Operations/Management· Logistics· Supply Chain,2,days
542,Chat Moderator / Client Support - Cairo,Everlast,"Heliopolis, Cairo, Egypt",2 days ago,Full,Entry Level · 0 - 3 Yrs of Exp · females_only · Customer Service/Support· Customer Support· Customer Service· Call Center· Customer Care· Communication· Communication Skills· Chat Support,2,days
543,Maintenance Manager ( Food & Beverage Industry ),Confidential,"6th of October, Giza, Egypt",2 days ago,Full,Manager · 10+ Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical· Hospitality· Food Services· Maintenance· Engineering· Mechanical Engineering· Electrical Engineering· Production,2,days
544,Head Of Commercial Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing· Commercial· Marketing,2,days
545,Virtual Assistant Manager,Virtual Worker Now,"Cairo, Egypt",2 days ago,Full,Manager · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management· virtual· Marketing· Management· Microsoft Excel· Contact Center Management· Contact Center· Leadership· Microsoft Office,2,days
546,Head Of Quality Assurance Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Quality · Pharmaceutical· Quality Assurance· Pharmaceutical,2,days
547,Head Of Supervision & Research Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Analyst/Research · Pharmaceutical· Research· Supervision,2,days
548,Head Of The Technical Sector,Holding For Pharmaceuticals,"Cairo, Egypt",2 days ago,Full,Senior Management · 10 - 15 Yrs of Exp · Manufacturing/Production · Pharmaceutical· Production· Engineering· AutoCAD,2,days
549,Real Estate Agent,Confidential,"New Cairo, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Sales/Retail· Sales· Sales Target· Real Estate· Sales skills· Target· Communication· Negotiation,2,days
550,Oracle DBA,National Technology,"Nasr City, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Database· Cloud· Information Technology (IT)· IT· Oracle· Oracle Database,2,days
551,Mechanical Engineer,MCV,"Alsalihiyyah Aljadidah, Sharqia, Egypt",2 days ago,Full,Entry Level · 0 - 3 Yrs of Exp · Engineering - Mechanical/Electrical· Mechanical Engineering· Electrical Engineering· Engineering,2,days
552,Senior Operation Engineer (On Site),Smart Move For Management Services,"Sheraton, Cairo, Egypt",2 days ago,Full,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical· Communication skills· Computer Science· Engineering· Hardware· English· Information Technology (IT)· Operating Systems,2,days
553,IOS Developer (Swift codebase) For 6-12 months,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt",2 days ago,Full,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· iOS Development· APIs· iOS· Programming· Computer Science· Development· Software Development· Swift,2,days
554,Senior Quantity Surveying Engineer (Arch),Confidential,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 7+ Yrs of Exp · Engineering - Construction/Civil/Architecture· architectural· Civil· Construction· Contracting· Quantity Surveying· AutoCAD· Civil Engineering· Engineering,2,days
555,Printing Sales Specialist,Clip Art,"Nasr City, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail· Printing· Advertising· Sales· Indoor· Outdoor· sales skills· Sales Target· Customer Service,2,days
556,School Social Worker- Orman Smart [Helwan],ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching· Psychology· English· Social Worker· Teaching· Communication,2,days
557,Sales Manager,Grand Plast,"khanka, Qalubia, Egypt",2 days ago,Full,Manager · 15+ Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail· Communication· Industry· Sales· Customer Service· Communication skills· Sales Target· English,2,days
558,School Librarian- Orman Smart [Helwan],ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · Education/Teaching· Education· Library· Teaching· English· Communication,2,days
559,Export Specialist,International Trade Office,"Bab Sharq, Alexandria, Egypt",2 days ago,Full,Entry Level · 0 - 2 Yrs of Exp · females_only · Logistics/Supply Chain· Export· Logistics· Computer Skills· Supply Chain· Marketing Research· Sales· Planning· Business Administration· English,2,days
560,Mental Health Advisor - PSTIC Program,Terre des hommes,"Dokki, Giza, Egypt",2 days ago,Part,Experienced · 3 - 5 Yrs of Exp · Medical/Healthcare· Medical· Psychology· Psychiatry· English· Communication skills· Health Care· Health· Mental health· Trauma,2,days
561,Secretary Executive,Solo Soft for hygienic paper,"Sheikh Zayed, Giza, Egypt",2 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Administration· Administration· Executive Secretary· Microsoft Office· Communication· Mass Communication· MS Office· powerpoint· Secretary,2,days
562,English Language Instructor,(MSA) October University,"6th of October, Giza, Egypt",2 days ago,Part,Experienced · 2 - 5 Yrs of Exp · Education/Teaching · Training/Instructor· Alsun· Academic· English· Teaching· languages· english language,2,days
563,ICDL Teacher / Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · Education/Teaching· Computer Science· ICDL· Education· Teaching,2,days
564,Sales Coordinator,NCC Xcalibur,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 5 Yrs of Exp · females_only · Administration· Business Administration· business· Communication skills· Administration· Sales Administration· Sales Coordination· sales admin,2,days
565,Primary Math Teacher/Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching· English· Mathematics· Teaching· Maths· Education,2,days
566,Network Manager. (Multinational Enterprises & Telecommunications Background Preferred),Confidential,"Sheraton, Cairo, Egypt",2 days ago,Full,Manager · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Engineering· Information Technology (IT)· Manager· network· Networking· ITIL· CCNA,2,days
567,C++ / QT Software Engineer,Atomica,"Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· C· C++· Software Development· Software engineer· Software Engineering· Mathematics· Programming· Algorithms,2,days
568,Senior General Accountant,Rotografia,"6th of October, Giza, Egypt",2 days ago,Full,Experienced · 3 - 4 Yrs of Exp · Accounting/Finance· Accounting· Communication skills· Finance· Financial Management· Financial Analysis· General Accounting· Microsoft Office· Microsoft Excel· English,2,days
569,Primary Science Teacher/Orman Smart [Helwan],ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching· Education· Primary· Teacher· Teaching· Science· English,2,days
570,Art Teacher / Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor· Education· Kindergarten· Primary· Teacher· Teaching· Art Teaching· English,2,days
571,Senior Wholesale Advisor (Automotive Spare Parts),Kasrawy Group,"Abu Rawash, Giza, Egypt",2 days ago,Full,Experienced · 3 - 6 Yrs of Exp · males_only · Customer Service/Support · Operations/Management · Sales/Retail· Sales· Wholesales· Spare Parts· Sales Skills· Sales Target· MS Office· Automotive,2,days
572,IT Operation Engineers (On Site),Smart Move For Management Services,"Sheraton, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Engineering· Hardware· Information Technology (IT)· Software Development· Computer Science· IT· Operations,2,days
573,Technical Office Engineer - Furniture,Designy,"Maadi, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art· Interior Design· AutoCAD· Engineering· Design· Arts· Applied Arts,2,days
574,Music Teacher / Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor· Education· Kindergarten· Primary· Teacher· Teaching· Music,2,days
575,Preparatory English Teacher/Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Education/Teaching· Education· Kindergarten· English· Primary· Teacher· Teaching· Microsoft Office· TEFL· Communication skills,2,days
576,Service Advisor Automotive Engineer,Kasrawy Group,"Abu Rawash, Giza, Egypt",2 days ago,Full,Experienced · 2 - 3 Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Customer Service· Engineering· Mechanical Engineering· Service advisor· Service· Automotive,2,days
577,Arabic Teacher - مدرسة لغة عربية / Orman Smart (Helwan),ED World  Orman Education,"Helwan, Cairo, Egypt",2 days ago,Full,Experienced · 2+ Yrs of Exp · Education/Teaching· Education· Kindergarten· Primary· Teacher· Teaching· Arabic Teaching· Arabic,2,days
578,Sales Executive,TransEV,"Cairo, Egypt",2 days ago,Full,Experienced · 1 - 5 Yrs of Exp · Sales/Retail· Localization· Sales· Translation· English· Sales Target· sales skills,2,days
579,HR Specialist,Solera,"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 3 - 6 Yrs of Exp · Human Resources· Human Resources (HR)· English· Recruitment· Communication· HR· Microsoft Office,2,days
580,Sales Manager,Itechs,"Cairo, Egypt",2 days ago,Full,Manager · 10 - 15 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology· Computer Science· sales skills· Sales· Sales Target· business· Management· Negotiation,2,days
581,Sales Account Manager,Itechs,"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Customer Service/Support · IT/Software Development · Sales/Retail· computer· communications· Sales· sales skills· Customer Service· Sales Target,2,days
582,IT Technical Support Specialist / Orman Smart (Nahya),ED World  Orman Education,"Boulaq, Cairo, Egypt",2 days ago,Full,Entry Level · 1+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· IT· Computer Science· Engineering· Technical Support· Installations· LANS· Information Technology (IT),2,days
583,B2B Sales Manager,Confidential,"Cairo, Egypt",2 days ago,Full,Manager · 3 - 5 Yrs of Exp · Business Development · Operations/Management · Sales/Retail· sales· sales agent· business· business development· strategy· MS· sales skills,2,days
584,"Sales Account Executive ""IT industry""",Itechs,"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 5 Yrs of Exp · IT/Software Development· communications· Computer Engineering· Sales· sales skills· Sales Target· Customer Service· Computer Science,2,days
585,Accounting Manager,Confidential,"Mohandessin, Giza, Egypt",2 days ago,Full,Manager · 8 - 10 Yrs of Exp · Accounting/Finance · Operations/Management· Accounting· Financial Accounting· Financial Services· English· ERP· excel· Finance· Financial Analysis,2,days
586,Data Analyst,INSITE OOH,"Zamalek, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research· Analysis· Data Analysis· Python· Tableau· BI· Media Monitoring· Mass Media· Data Analytics,2,days
587,Sales Coordinator,Fawaterk,"6th of October, Giza, Egypt",2 days ago,Full,Experienced · 2 - 4 Yrs of Exp · Administration · Sales/Retail· Sales· Sales Skills· Administration· Sales Coordinator· Coordinator· Payments· Ecommerce· Customer Service,2,days
588,Angular Frontend Developer,Exceed,"Cairo, Egypt",2 days ago,Full,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Angular· Software Development· Web Development· Computer Science· Agile· CSS3· Design· HTML5,2,days
589,Strategic Planning Manager,Rowad Modern Engineering,"Maadi, Cairo, Egypt",2 days ago,Full,Manager · 15 - 17 Yrs of Exp · Operations/Management · Project/Program Management· Management· Planning· Marketing· Sales· English· Construction,2,days
590,Recruitment Specialist,Qsource,"New Cairo, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Human Resources· Human Resources (HR)· Recruitment· Headhunting· Time Management· Microsoft Office· English· Personnel,2,days
591,Secretary,El Nasr Group,"Heliopolis, Cairo, Egypt",2 days ago,Full,Entry Level · 2 - 4 Yrs of Exp · Administration· Administration· Analysis· Communication· English· Secretary· Microsoft Office· Office management· Skills· Excellent,2,days
592,Java Developer,World Vest Base (WVB ),"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Java· Oracle DB· Programming· Software Development· English· JSF,2,days
593,Digital Marketing Manager,Confidential,"Alexandria, Egypt",2 days ago,Full,Manager · 7 - 10 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· AdWords· campaigns· Creative· Digital· Digital campaigns· Digital Marketing· E-Marketing· Google Adwords,2,days
594,Motion Graphic Designer,RMG,"Heliopolis, Cairo, Egypt",2 days ago,Full,Experienced · 4+ Yrs of Exp · Creative/Design/Art· Adobe illustrator· Adobe Photoshop· Animation· Creative· Design· Editing· Graphic· Graphic Design· illustrator,2,days
595,Senior HR Generalist,Femex Egypt,"Sheraton, Cairo, Egypt",2 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Human Resources· analytical· Human Resources (HR)· Microsoft Office· English· MS Office· Personnel· Recruitment· HR· Computer Skills,2,days
596,Regional Export Sales Manager,Confidential,"Heliopolis, Cairo, Egypt",2 days ago,Full,Manager · 6 - 12 Yrs of Exp · Logistics/Supply Chain · Sales/Retail· Export· Sales· Building Materials· Export Sales· sales skills· Export Management· Sales Target,2,days
597,Plumbing and Fire Fighting Design Engineer,Pinnacle Real Estate Investments and Development Management,"Maadi, Cairo, Egypt",2 days ago,Full,Experienced · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art· Design· Engineering· Revit· AutoCAD· English· Interior Design· Architecture· CAD,2,days
598,Customer Happiness Agent,Bocsha egypt,"New Cairo, Cairo, Egypt",2 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support· Customer Care· Customer Service· Customer Support· Customer Experience,2,days
599,Data Engineer Intern,Worex,"Maadi, Cairo, Egypt",2 days ago,Internship,Entry Level · IT/Software Development · Engineering - Telecom/Technology· Engineering· Data· Information Technology (IT)· Big Data,2,days
600,Graphic Designer,Andalusia Group,"Alexandria, Egypt",2 days ago,Internship,Entry Level · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing· Adobe illustrator· Adobe Photoshop· designing· Experience· Graphic· Design· Graphic Design,2,days
601,Science Teacher (Elementary & Middle stage),British Modern School,"Badr City, Cairo, Egypt",2 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Education/Teaching· Communication skills· Education· Science· English· Teaching· Communication· School· Elementary· Instructor,2,days
602,English Teacher (Teacher Assistant),British Modern School,"Badr City, Cairo, Egypt",2 days ago,Full,Experienced · 3 - 7 Yrs of Exp · Education/Teaching· Communication· Computer Skills· Education· Curriculum· International School· English Teaching· Teaching· English· Schools,2,days
603,Digital Marketing Internship,Andalusia Group,"Maadi, Cairo, Egypt",2 days ago,Internship,Entry Level · Marketing/PR/Advertising · Media/Journalism/Publishing· analytical· Communication· Digital Marketing· E-Marketing· Marketing· Social Media· Skills· SEO,2,days
604,FHH Engineering Internship Program 2022,Fine Hygienic Holding,"6th of October, Giza, Egypt",2 days ago,Internship,Student · Manufacturing/Production · Engineering - Mechanical/Electrical· Computer Skills· Microsoft Office· Engineering,2,days
605,Store Accountant,Confidential,"Cairo, Egypt",2 days ago,Full,Experienced · 3+ Yrs of Exp · Accounting/Finance· Accounting· Finance· Financial Analysis· English· Arabic· Communication· ERP· MS Office,2,days
606,HSE Officer,Egypro FME,"Maadi, Cairo, Egypt",2 days ago,Full,"Experienced · 3 - 4 Yrs of Exp · Quality · Engineering - Other· HSE· Safety· Health, Safety and Environment· Microsoft Office· English· Engineering· quality",2,days
607,Senior Mechanical Site Engineer,Better Home,"New Cairo, Cairo, Egypt",2 days ago,Full,Experienced · 8 - 10 Yrs of Exp · Engineering - Mechanical/Electrical· Engineering· Mechanical· Mechanical Engineering· Commercial· Consultancy· Development· HVAC· Office building,2,days
608,Financial Manager,Lychee Fruit Bar,"New Cairo, Cairo, Egypt",2 days ago,Full,Manager · 5 - 10 Yrs of Exp · Accounting/Finance · Operations/Management· Accounting· Finance· Financial Management· Microsoft Office· excel· Financial Analysis· Microsoft· Microsoft Office suite,2,days
609,HR Data Analyst,Confidential,"Cairo, Egypt",2 days ago,Full,Experienced · 4 - 5 Yrs of Exp · Human Resources · Analyst/Research· Analysis· analytical· Reporting· Data Analysis· Communication skills,2,days
610,Regional Digital Marketing Strategist,dkt Egypt,"Nasr City, Cairo, Egypt",2 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Medical/Healthcare· Digital Marketing· Marketing· Digital· business· Digital Advertising· Medical· Medical Marketing· Advertising,2,days
